nb,time_to_insert,time_to_extract
4,0.000005,0.000001
8,0.000002,0.000002
16,0.000004,0.000004
32,0.000007,0.000009
64,0.000012,0.000016
128,0.000030,0.000032
256,0.000050,0.000069
512,0.000096,0.000138
1024,0.000196,0.000290
2048,0.000388,0.000604
4096,0.000794,0.001222
8192,0.001317,0.002424
16384,0.002044,0.002757
32768,0.002911,0.007327
65536,0.006004,0.014195
131072,0.012420,0.029586
262144,0.025251,0.070511
524288,0.051806,0.180388
1048576,0.105539,0.469278
2097152,0.214930,1.467643
4194304,0.435071,4.657056
